case,completeTime,event,sunUp
7,2025-01-06 08:43:00,lampOff,1
7,2025-01-06 09:01:00,presenceOn,1
7,2025-01-06 09:01:00,doorOpened,1
7,2025-01-06 09:01:00,nicolasDetected,1
7,2025-01-06 09:01:00,nicolasNotDected,1
7,2025-01-06 09:01:00,doorClosed,1
7,2025-01-06 09:01:00,presenceOff,1
7,2025-01-06 17:10:00,sunDown,0
7,2025-01-06 17:11:00,presenceOn,0
7,2025-01-06 17:11:00,doorOpened,0
7,2025-01-06 17:11:00,nicolasDetected,0
7,2025-01-06 17:11:00,nicolasNotDected,0
7,2025-01-06 17:11:00,doorClosed,0
7,2025-01-06 17:11:00,lampOn,0
7,2025-01-06 17:11:00,blindsClosed,0
7,2025-01-06 21:59:00,lampOff,0
8,2025-01-07 06:54:00,lampOn,0
8,2025-01-07 08:43:00,sunUp,1
8,2025-01-07 08:43:00,blindsOpen,1
8,2025-01-07 08:43:00,lampOff,1
8,2025-01-07 08:59:00,presenceOn,1
8,2025-01-07 08:59:00,doorOpened,1
8,2025-01-07 08:59:00,nicolasDetected,1
8,2025-01-07 08:59:00,nicolasNotDected,1
8,2025-01-07 08:59:00,doorClosed,1
8,2025-01-07 08:59:00,presenceOff,1
8,2025-01-07 16:43:00,presenceOn,1
8,2025-01-07 16:43:00,doorOpened,1
8,2025-01-07 16:43:00,nicolasDetected,1
8,2025-01-07 16:43:00,nicolasNotDected,1
8,2025-01-07 16:43:00,doorClosed,1
8,2025-01-07 17:11:00,sunDown,0
8,2025-01-07 17:11:00,lampOn,0
8,2025-01-07 17:11:00,blindsClosed,0
8,2025-01-07 21:54:00,lampOff,0
9,2025-01-08 06:57:00,lampOn,0
9,2025-01-08 08:42:00,sunUp,1
9,2025-01-08 08:42:00,blindsOpen,1
9,2025-01-08 08:42:00,lampOff,1
9,2025-01-08 09:04:00,presenceOn,1
9,2025-01-08 09:04:00,doorOpened,1
9,2025-01-08 09:04:00,nicolasDetected,1
9,2025-01-08 09:04:00,nicolasNotDected,1
9,2025-01-08 09:04:00,doorClosed,1
9,2025-01-08 09:04:00,presenceOff,1
9,2025-01-08 16:47:00,presenceOn,1
9,2025-01-08 16:47:00,doorOpened,1
9,2025-01-08 16:47:00,nicolasDetected,1
9,2025-01-08 16:47:00,nicolasNotDected,1
9,2025-01-08 16:47:00,doorClosed,1
9,2025-01-08 17:12:00,sunDown,0
9,2025-01-08 17:12:00,lampOn,0
9,2025-01-08 17:12:00,blindsClosed,0
9,2025-01-08 21:51:00,lampOff,0
10,2025-01-09 06:58:00,lampOn,0
10,2025-01-09 08:42:00,sunUp,1
10,2025-01-09 08:42:00,blindsOpen,1
10,2025-01-09 08:42:00,lampOff,1
10,2025-01-09 09:02:00,presenceOn,1
10,2025-01-09 09:02:00,doorOpened,1
10,2025-01-09 09:02:00,nicolasDetected,1
10,2025-01-09 09:02:00,nicolasNotDected,1
10,2025-01-09 09:02:00,doorClosed,1
10,2025-01-09 09:02:00,presenceOff,1
10,2025-01-09 17:08:00,presenceOn,1
10,2025-01-09 17:08:00,doorOpened,1
10,2025-01-09 17:08:00,nicolasDetected,1
10,2025-01-09 17:08:00,nicolasNotDected,1
10,2025-01-09 17:08:00,doorClosed,1
10,2025-01-09 17:13:00,sunDown,0
10,2025-01-09 17:13:00,lampOn,0
10,2025-01-09 17:13:00,blindsClosed,0
10,2025-01-09 21:54:00,lampOff,0
11,2025-01-10 07:08:00,lampOn,0
11,2025-01-10 08:41:00,sunUp,1
11,2025-01-10 08:41:00,blindsOpen,1
11,2025-01-10 08:41:00,lampOff,1
11,2025-01-10 09:03:00,presenceOn,1
11,2025-01-10 09:03:00,doorOpened,1
11,2025-01-10 09:03:00,nicolasDetected,1
11,2025-01-10 09:03:00,nicolasNotDected,1
11,2025-01-10 09:03:00,doorClosed,1
11,2025-01-10 09:03:00,presenceOff,1
11,2025-01-10 16:37:00,presenceOn,1
11,2025-01-10 16:37:00,doorOpened,1
11,2025-01-10 16:37:00,nicolasDetected,1
11,2025-01-10 16:37:00,nicolasNotDected,1
11,2025-01-10 16:37:00,doorClosed,1
11,2025-01-10 17:15:00,sunDown,0
11,2025-01-10 17:15:00,lampOn,0
11,2025-01-10 17:15:00,blindsClosed,0
